23:14:00.493 [main] INFO  org.eclipse.jetty.util.log  - Logging initialized @8722ms to org.eclipse.jetty.util.log.Slf4jLog
23:15:45.955 [nREPL-worker-1] INFO  org.eclipse.jetty.server.Server  - jetty-9.4.10.v20180503; built: 2018-05-03T15:56:21.710Z; git: daa59876e6f384329b122929e70a80934569428c; jvm 1.8.0_162-b12
23:15:46.013 [nREPL-worker-1] INFO  o.e.j.server.handler.ContextHandler  - Started o.e.j.s.ServletContextHandler@548e61e4{/,null,AVAILABLE}
23:15:49.071 [nREPL-worker-1] INFO  o.e.jetty.server.AbstractConnector  - Started ServerConnector@a54f086{HTTP/1.1,[http/1.1, h2c]}{localhost:3701}
23:15:49.072 [nREPL-worker-1] INFO  org.eclipse.jetty.server.Server  - Started @117304ms
23:16:32.003 [qtp1258909255-34] INFO  io.pedestal.http  - {:msg "GET /", :line 80}
23:16:32.010 [qtp1258909255-34] INFO  io.pedestal.http.cors  - {:msg "cors request processing", :origin "", :allowed true, :line 84}
23:16:32.026 [qtp1258909255-34] INFO  io.pedestal.http.cors  - {:msg "cors response processing", :cors-headers {"Access-Control-Allow-Origin" "", "Access-Control-Allow-Credentials" "true", "Access-Control-Expose-Headers" "Strict-Transport-Security, X-Frame-Options, X-Content-Type-Options, X-Xss-Protection, X-Download-Options, X-Permitted-Cross-Domain-Policies, Content-Security-Policy"}, :line 111}
23:16:40.780 [qtp1258909255-29] INFO  io.pedestal.http  - {:msg "GET /db/schema", :line 80}
23:16:40.781 [qtp1258909255-29] INFO  io.pedestal.http.cors  - {:msg "cors request processing", :origin "", :allowed true, :line 84}
23:16:42.790 [qtp1258909255-29] INFO  io.pedestal.http.cors  - {:msg "cors response processing", :cors-headers {"Access-Control-Allow-Origin" "", "Access-Control-Allow-Credentials" "true", "Access-Control-Expose-Headers" "Strict-Transport-Security, X-Frame-Options, X-Content-Type-Options, X-Xss-Protection, X-Download-Options, X-Permitted-Cross-Domain-Policies, Content-Security-Policy"}, :line 111}
